Temp.     Voltage    Sensitivity
(Kelvin)  (Volts)    (milliVolts/Kelvin)

   1.400   1.65477    -1.232435E+01
   1.500   1.65348    -1.360516E+01
   1.600   1.65206    -1.481697E+01
   1.700   1.65052    -1.595980E+01
   1.800   1.64886    -1.704552E+01
   1.900   1.64711    -1.808481E+01
   2.000   1.64525    -1.907764E+01
   2.100   1.64329    -2.001081E+01
   2.200   1.64125    -2.087133E+01
   2.300   1.63912    -2.165921E+01
   2.400   1.63692    -2.237445E+01
   2.500   1.63465    -2.302098E+01
   2.600   1.63232    -2.360278E+01
   2.700   1.62993    -2.411985E+01
   2.800   1.62750    -2.457220E+01
   2.900   1.62502    -2.498873E+01
   3.000   1.62250    -2.539782E+01
   3.100   1.61994    -2.579946E+01
   3.200   1.61734    -2.619366E+01
   3.300   1.61470    -2.660456E+01
   3.400   1.61202    -2.705776E+01
   3.500   1.60929    -2.755328E+01
   3.600   1.60651    -2.809112E+01
   3.700   1.60367    -2.867126E+01
   3.800   1.60077    -2.926887E+01
   3.900   1.59781    -2.985562E+01
   4.000   1.59480    -3.043150E+01
   4.200   1.58860    -3.155061E+01
   4.400   1.58218    -3.258236E+01
   4.600   1.57558    -3.348124E+01
   4.800   1.56880    -3.424723E+01
   5.000   1.56189    -3.488033E+01
   5.200   1.55486    -3.540842E+01
   5.400   1.54773    -3.586020E+01
   5.600   1.54052    -3.623565E+01
   5.800   1.53324    -3.653480E+01
   6.000   1.52591    -3.675762E+01
   6.500   1.50747    -3.686733E+01
   7.000   1.48916    -3.627334E+01
   7.500   1.47129    -3.512982E+01
   8.000   1.45409    -3.359708E+01
   8.500   1.43772    -3.189012E+01
   9.000   1.42220    -3.022699E+01
   9.500   1.40748    -2.865663E+01
  10.000   1.39352    -2.723008E+01
  10.500   1.38023    -2.594257E+01
  11.000   1.36755    -2.478921E+01
  11.500   1.35542    -2.373571E+01
  12.000   1.34380    -2.274744E+01
  12.500   1.33266    -2.182386E+01
  13.000   1.32197    -2.096445E+01
  13.500   1.31169    -2.016810E+01
  14.000   1.30179    -1.943372E+01
  14.500   1.29224    -1.876814E+01
  15.000   1.28301    -1.817823E+01
  15.500   1.27405    -1.766454E+01
  16.000   1.26533    -1.722761E+01
  16.500   1.25681    -1.685452E+01
  17.000   1.24847    -1.653241E+01
  17.500   1.24027    -1.627503E+01
  18.000   1.23218    -1.609622E+01
  18.500   1.22416    -1.600260E+01
  19.000   1.21616    -1.600073E+01
  19.500   1.20814    -1.610751E+01
  20.000   1.20004    -1.633985E+01
  21.000   1.183186   -1.761132E+01
  22.000   1.164081   -2.102785E+01
  23.000   1.141986   -2.138979E+01
  24.000   1.126429   -9.827343E+00
  25.000   1.119707   -4.730853E+00
  26.000   1.115858   -3.214078E+00
  27.000   1.113009   -2.564365E+00
  28.000   1.110626   -2.234642E+00
  29.000   1.108493   -2.044996E+00
  30.000   1.106512   -1.927887E+00
  31.000   1.104625   -1.848937E+00
  32.000   1.102807   -1.790601E+00
  33.000   1.101039   -1.745868E+00
  34.000   1.099313   -1.707840E+00
  35.000   1.097621   -1.676517E+00
  36.000   1.095958   -1.650889E+00
  37.000   1.094318   -1.629979E+00
  38.000   1.092697   -1.613785E+00
  39.000   1.091089   -1.601894E+00
  40.000   1.089491   -1.593899E+00
  42.000   1.086311   -1.589598E+00
  44.000   1.083127   -1.594102E+00
  46.000   1.079933   -1.600741E+00
  48.000   1.076724   -1.608270E+00
  50.000   1.073500   -1.615488E+00
  52.000   1.070262   -1.622393E+00
  54.000   1.067010   -1.629284E+00
  56.000   1.063745   -1.636445E+00
  58.000   1.060464   -1.643876E+00
  60.000   1.057169   -1.651771E+00
  65.000   1.048855   -1.674244E+00
  70.000   1.040426   -1.697199E+00
  75.000   1.031883   -1.720580E+00
  77.350   1.027826   -1.732166E+00
  80.000   1.023218   -1.745254E+00
  85.000   1.014430   -1.769837E+00
  90.000   1.005520   -1.794124E+00
  95.000   0.996488   -1.818654E+00
 100.000   0.987335   -1.842254E+00
 105.000   0.978068   -1.864813E+00
 110.000   0.968688   -1.886803E+00
 115.000   0.959201   -1.908002E+00
 120.000   0.949610   -1.928204E+00
 125.000   0.939920   -1.947408E+00
 130.000   0.930137   -1.965641E+00
 135.000   0.920266   -1.982928E+00
 140.000   0.910310   -1.999267E+00
 145.000   0.900274   -2.014725E+00
 150.000   0.890164   -2.029360E+00
 155.000   0.879982   -2.043172E+00
 160.000   0.869733   -2.056269E+00
 165.000   0.859420   -2.068749E+00
 170.000   0.849047   -2.080613E+00
 175.000   0.838615   -2.091950E+00
 180.000   0.828128   -2.102843E+00
 185.000   0.817588   -2.113294E+00
 190.000   0.806996   -2.123437E+00
 195.000   0.796353   -2.133397E+00
 200.000   0.785662   -2.143175E+00
 205.000   0.774922   -2.152713E+00
 210.000   0.764135   -2.161959E+00
 215.000   0.753303   -2.170913E+00
 220.000   0.742427   -2.179639E+00
 225.000   0.731507   -2.188195E+00
 230.000   0.720545   -2.196581E+00
 235.000   0.709542   -2.204740E+00
 240.000   0.698498   -2.212619E+00
 245.000   0.687416   -2.220217E+00
 250.000   0.676296   -2.227658E+00
 255.000   0.665139   -2.235051E+00
 260.000   0.653946   -2.242398E+00
 265.000   0.642716   -2.249438E+00
 270.000   0.631452   -2.255935E+00
 273.150   0.624340   -2.259749E+00
 275.000   0.620157   -2.261888E+00
 280.000   0.608834   -2.267440E+00
 285.000   0.597483   -2.272724E+00
 290.000   0.586107   -2.277740E+00
 295.000   0.574707   -2.282356E+00
 300.000   0.563284   -2.286451E+00
 305.000   0.551843   -2.290025E+00
 310.000   0.540386   -2.292778E+00
 315.000   0.528917   -2.294434E+00
 320.000   0.517441   -2.296163E+00
 325.000   0.505954   -2.298729E+00
