# Temperature             Voltage
1.19650678707436E+00   1.65701
1.29735387735143E+00   1.65597
1.39883732967226E+00   1.65479
1.69722260695585E+00   1.65056
1.99949007856514E+00   1.64526
2.40042763100143E+00   1.63691
2.79953812698680E+00   1.62751
3.20149140483451E+00   1.61730
3.70333458065313E+00   1.60357
4.20189703918261E+00   1.58854
5.00147980612338E+00   1.56183
5.99973638137408E+00   1.52592
7.00493835161670E+00   1.48898
8.00176179413789E+00   1.45403
9.00524678820753E+00   1.42204
1.00029388016336E+01   1.39344
1.10012237527670E+01   1.36752
1.19994692785115E+01   1.34382
1.29993809008521E+01   1.32198
1.40007820036832E+01   1.30178
1.49998956716790E+01   1.28301
1.59992084834542E+01   1.26535
1.70006445696902E+01   1.24846
1.79986892249297E+01   1.23220
1.89999569263304E+01   1.21616
2.00856548701888E+01   1.19863
2.10545927830221E+01   1.18222
2.18319677122249E+01   1.16756
2.26232841732130E+01   1.15039
2.32180886718943E+01   1.13755
2.38184732457665E+01   1.12838
2.44166414303991E+01   1.12302
2.50136547331902E+01   1.11964
2.56143001078105E+01   1.11717
2.64058810298891E+01   1.11462
2.72023511695270E+01   1.11250
2.79980679176441E+01   1.11063
2.89949252128632E+01   1.10850
2.99938980930964E+01   1.10652
3.19957842340335E+01   1.10281
3.49919765560253E+01   1.09763
3.79957152990724E+01   1.09270
4.19918721373627E+01   1.08632
4.59834947732191E+01   1.07996
5.19765065344257E+01   1.07030
5.79743923197814E+01   1.06051
6.39688836317280E+01   1.05058
6.99529784685749E+01   1.04051
7.59456519071205E+01   1.03025
8.19429109597247E+01   1.01982
8.79321845317442E+01   1.00922
9.39292993551814E+01   0.99843
9.99273493180731E+01   0.98747
1.09905100837113E+02   0.96887
1.24898881383553E+02   0.94012
1.39888060025186E+02   0.91053
1.54897265287536E+02   0.88019
1.69893635957042E+02   0.84927
1.84892767880307E+02   0.81781
1.99880504805941E+02   0.78592
2.14885327307639E+02   0.75355
2.29888921960189E+02   0.72079
2.44889272543487E+02   0.68766
2.59892453960695E+02   0.65419
2.74894531170777E+02   0.62040
2.89906070613514E+02   0.58632
3.04911429838712E+02   0.55205
3.14957295856163E+02   0.52902
3.19974306573525E+02   0.51750
3.25970340340777E+02   0.50372
3.29984443303554E+02   0.49449
